City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jashpurnagar,22.9,84.15,80.19,23,9,0.72,IN,1587224413
conceicao do araguaia,-8.26,-49.26,85.86,67,57,1.34,BR,1587224413
mehran,33.12,46.16,59.0,47,90,1.0,IR,1587224414
sept-iles,50.2,-66.38,30.2,54,20,3.1,CA,1587224327
kitimat,54.05,-128.65,44.01,80,20,4.6,CA,1587224414
tafresh,34.69,50.01,56.26,28,100,1.77,IR,1587224414
necochea,-38.55,-58.74,73.99,55,0,6.71,AR,1587224414
turukhansk,65.82,87.98,38.86,80,100,6.14,RU,1587224415
sao felix do xingu,-6.64,-51.99,82.06,68,100,1.0,BR,1587224415
nuevo progreso,23.17,-97.95,80.01,85,73,3.11,MX,1587224415
comodoro rivadavia,-45.87,-67.5,68.0,37,75,8.2,AR,1587224415
ilebo,-4.32,20.58,80.2,80,100,0.7,CD,1587224415
hata,26.75,83.74,88.79,20,55,3.07,IN,1587224416
bonthe,7.53,-12.51,85.44,68,100,5.37,SL,1587224416
avera,33.19,-82.53,71.6,73,90,6.7,US,1587224416
neiafu,-18.65,-173.98,77.0,94,75,1.5,TO,1587224416
porto velho,-8.76,-63.9,82.4,54,87,5.7,BR,1587224416
daru,-9.08,143.21,79.61,87,82,4.01,PG,1587224416
karratha,-20.74,116.85,84.27,63,73,4.5,AU,1587224416
hastings,50.86,0.57,57.0,81,62,4.96,GB,1587224416
saint simons,31.14,-81.39,73.4,73,75,4.6,US,1587224417
atar,20.52,-13.05,88.36,16,0,6.97,MR,1587224417
zhangye,38.93,100.45,51.94,24,0,0.46,CN,1587224417
